"","displayName","defensiveTeam","color","logo"
"9041","A'Shawn Robinson","LA","#003594","los-angeles-rams.png"
"9063","Greg Gaines","LA","#003594","los-angeles-rams.png"
"9069","Jonah Williams","LA","#003594","los-angeles-rams.png"
"9070","Leonard Floyd","LA","#003594","los-angeles-rams.png"
"9144","Cobie Durant","LA","#003594","los-angeles-rams.png"
"9177","David Long","LA","#003594","los-angeles-rams.png"
"9189","Robert Rochell","LA","#003594","los-angeles-rams.png"
"9239","Marquise Copeland","LA","#003594","los-angeles-rams.png"
"9294","Grant Haley","LA","#003594","los-angeles-rams.png"
"9383","Takkarist McKinley","LA","#003594","los-angeles-rams.png"
"9428","Keir Thomas","LA","#003594","los-angeles-rams.png"
"9449","Kenneth Murray","LAC","#0080C6","los-angeles-chargers.png"
"9450","Kyle Van Noy","LAC","#0080C6","los-angeles-chargers.png"
"9451","Chris Rumph","LAC","#0080C6","los-angeles-chargers.png"
"9452","Nasir Adderley","LAC","#0080C6","los-angeles-chargers.png"
"9454","Sebastian Joseph","LAC","#0080C6","los-angeles-chargers.png"
"9458","Derrek Tuszka","LAC","#0080C6","los-angeles-chargers.png"
"9464","Drue Tranquill","LAC","#0080C6","los-angeles-chargers.png"
"9465","Austin Johnson","LAC","#0080C6","los-angeles-chargers.png"
"9471","Derwin James","LAC","#0080C6","los-angeles-chargers.png"
"9472","Morgan Fox","LAC","#0080C6","los-angeles-chargers.png"
"9488","Asante Samuel","LAC","#0080C6","los-angeles-chargers.png"
"9495","Christian Covington","LAC","#0080C6","los-angeles-chargers.png"
"9510","Khalil Mack","LAC","#0080C6","los-angeles-chargers.png"
"9516","Troy Reeder","LAC","#0080C6","los-angeles-chargers.png"
"9537","Jerry Tillery","LAC","#0080C6","los-angeles-chargers.png"
"9569","Michael Davis","LAC","#0080C6","los-angeles-chargers.png"
"9603","Alohi Gilman","LAC","#0080C6","los-angeles-chargers.png"
"9620","Joey Bosa","LAC","#0080C6","los-angeles-chargers.png"
"9651","J.C. Jackson","LAC","#0080C6","los-angeles-chargers.png"
"9689","Bryce Callahan","LAC","#0080C6","los-angeles-chargers.png"
"9698","Otito Ogbonnia","LAC","#0080C6","los-angeles-chargers.png"
"9943","Neil Farrell","LV","#000000","las-vegas-raiders.png"
"9944","Rock Ya-Sin","LV","#000000","las-vegas-raiders.png"
"9946","Malcolm Koonce","LV","#000000","las-vegas-raiders.png"
"9947","Kendal Vickers","LV","#000000","las-vegas-raiders.png"
"9948","Chandler Jones","LV","#000000","las-vegas-raiders.png"
"9949","Johnathan Abram","LV","#000000","las-vegas-raiders.png"
"9950","Maxx Crosby","LV","#000000","las-vegas-raiders.png"
"9957","Divine Deablo","LV","#000000","las-vegas-raiders.png"
"9959","Matthias Farley","LV","#000000","las-vegas-raiders.png"
"9963","Bilal Nichols","LV","#000000","las-vegas-raiders.png"
"9965","Blake Martinez","LV","#000000","las-vegas-raiders.png"
"9966","Andrew Billings","LV","#000000","las-vegas-raiders.png"
"9971","Trevon Moehrig","LV","#000000","las-vegas-raiders.png"
"9978","Duron Harmon","LV","#000000","las-vegas-raiders.png"
"9991","Jayon Brown","LV","#000000","las-vegas-raiders.png"
"9994","Denzel Perryman","LV","#000000","las-vegas-raiders.png"
"10003","Johnathan Hankins","LV","#000000","las-vegas-raiders.png"
"10067","Roderic Teamer","LV","#000000","las-vegas-raiders.png"
"10102","Amik Robertson","LV","#000000","las-vegas-raiders.png"
"10149","Matthew Butler","LV","#000000","las-vegas-raiders.png"
"10172","Nate Hobbs","LV","#000000","las-vegas-raiders.png"
"10197","Anthony Averett","LV","#000000","las-vegas-raiders.png"
"10333","Luke Masterson","LV","#000000","las-vegas-raiders.png"
"10355","Clelin Ferrell","LV","#000000","las-vegas-raiders.png"
"10361","Sam Webb","LV","#000000","las-vegas-raiders.png"
"10511","Jaelan Phillips","MIA","#008E97","miami-dolphins.png"
"10512","Elandon Roberts","MIA","#008E97","miami-dolphins.png"
"10514","Brandon Jones","MIA","#008E97","miami-dolphins.png"
"10517","Christian Wilkins","MIA","#008E97","miami-dolphins.png"
"10523","Duke Riley","MIA","#008E97","miami-dolphins.png"
"10524","Emmanuel Ogbah","MIA","#008E97","miami-dolphins.png"
"10525","Raekwon Davis","MIA","#008E97","miami-dolphins.png"
"10530","Eric Rowe","MIA","#008E97","miami-dolphins.png"
"10531","Nik Needham","MIA","#008E97","miami-dolphins.png"
"10532","Kader Kohou","MIA","#008E97","miami-dolphins.png"
"10538","John Jenkins","MIA","#008E97","miami-dolphins.png"
"10547","Jevon Holland","MIA","#008E97","miami-dolphins.png"
"10553","Clayton Fejedelem","MIA","#008E97","miami-dolphins.png"
"10556","Xavien Howard","MIA","#008E97","miami-dolphins.png"
"10579","Justin Bethel","MIA","#008E97","miami-dolphins.png"
"10591","Andrew Van Ginkel","MIA","#008E97","miami-dolphins.png"
"10618","Jerome Baker","MIA","#008E97","miami-dolphins.png"
"10619","Melvin Ingram","MIA","#008E97","miami-dolphins.png"
"10629","Bradley Chubb","MIA","#008E97","miami-dolphins.png"
"10655","Trey Flowers","MIA","#008E97","miami-dolphins.png"
"10670","Zach Sieler","MIA","#008E97","miami-dolphins.png"
"10685","Keion Crossen","MIA","#008E97","miami-dolphins.png"
"10698","Elijah Campbell","MIA","#008E97","miami-dolphins.png"
"10734","Channing Tindall","MIA","#008E97","miami-dolphins.png"
"10886","Ben Stille","MIA","#008E97","miami-dolphins.png"
"10900","Noah Igbinoghene","MIA","#008E97","miami-dolphins.png"
"10906","Sam Eguavoen","MIA","#008E97","miami-dolphins.png"
"11006","Verone McKinley","MIA","#008E97","miami-dolphins.png"
"11121","Chandon Sullivan","MIN","#4F2683","minnesota-vikings.png"
"11122","Harrison Phillips","MIN","#4F2683","minnesota-vikings.png"
"11123","Patrick Peterson","MIN","#4F2683","minnesota-vikings.png"
"11124","Eric Kendricks","MIN","#4F2683","minnesota-vikings.png"
"11125","Camryn Bynum","MIN","#4F2683","minnesota-vikings.png"
"11127","Cameron Dantzler","MIN","#4F2683","minnesota-vikings.png"
"11128","Akayleb Evans","MIN","#4F2683","minnesota-vikings.png"
"11129","James Lynch","MIN","#4F2683","minnesota-vikings.png"
"11130","Jordan Hicks","MIN","#4F2683","minnesota-vikings.png"
"11131","Harrison Smith","MIN","#4F2683","minnesota-vikings.png"
"11140","Danielle Hunter","MIN","#4F2683","minnesota-vikings.png"
"11154","Josh Metellus","MIN","#4F2683","minnesota-vikings.png"
"11206","Jonathan Bullard","MIN","#4F2683","minnesota-vikings.png"
"11216","D.J. Wonnum","MIN","#4F2683","minnesota-vikings.png"
"11267","Ross Blacklock","MIN","#4F2683","minnesota-vikings.png"
"11318","Za'Darius Smith","MIN","#4F2683","minnesota-vikings.png"
"11337","Dalvin Tomlinson","MIN","#4F2683","minnesota-vikings.png"
"11399","Khyiris Tonga","MIN","#4F2683","minnesota-vikings.png"
"11430","Patrick Jones","MIN","#4F2683","minnesota-vikings.png"
"11568","Troy Dye","MIN","#4F2683","minnesota-vikings.png"
"11604","Brian Asamoah","MIN","#4F2683","minnesota-vikings.png"
"11626","Jahlani Tavai","NE","#002244","new-england-patriots.png"
"11627","Myles Bryant","NE","#002244","new-england-patriots.png"
"11628","Mack Wilson","NE","#002244","new-england-patriots.png"
"11629","Anfernee Jennings","NE","#002244","new-england-patriots.png"
"11631","Davon Godchaux","NE","#002244","new-england-patriots.png"
"11637","Adrian Phillips","NE","#002244","new-england-patriots.png"
"11638","Kyle Dugger","NE","#002244","new-england-patriots.png"
"11640","Ja'Whaun Bentley","NE","#002244","new-england-patriots.png"
"11646","Marcus Jones","NE","#002244","new-england-patriots.png"
"11647","Jalen Mills","NE","#002244","new-england-patriots.png"
"11649","Deatrich Wise","NE","#002244","new-england-patriots.png"
"11653","Lawrence Guy","NE","#002244","new-england-patriots.png"
"11655","Jabrill Peppers","NE","#002244","new-england-patriots.png"
"11664","Jonathan Jones","NE","#002244","new-england-patriots.png"
"11668","Raekwon McMillan","NE","#002244","new-england-patriots.png"
"11671","Christian Barmore","NE","#002244","new-england-patriots.png"
"11693","Jack Jones","NE","#002244","new-england-patriots.png"
"11696","Devin McCourty","NE","#002244","new-england-patriots.png"
"11711","Daniel Ekuale","NE","#002244","new-england-patriots.png"
"11913","Matt Judon","NE","#002244","new-england-patriots.png"
"11972","Shaun Wade","NE","#002244","new-england-patriots.png"
"12014","Carl Davis","NE","#002244","new-england-patriots.png"
"12026","Josh Uche","NE","#002244","new-england-patriots.png"
"12092","Sam Roberts","NE","#002244","new-england-patriots.png"
"12161","Shy Tuttle","NO","#D3BC8D","new-orleans-saints.png"
"12162","Tyrann Mathieu","NO","#D3BC8D","new-orleans-saints.png"
"12163","Justin Evans","NO","#D3BC8D","new-orleans-saints.png"
"12169","Paulson Adebo","NO","#D3BC8D","new-orleans-saints.png"
"12172","Carl Granderson","NO","#D3BC8D","new-orleans-saints.png"
"12175","Pete Werner","NO","#D3BC8D","new-orleans-saints.png"
"12182","Demario Davis","NO","#D3BC8D","new-orleans-saints.png"
"12188","Payton Turner","NO","#D3BC8D","new-orleans-saints.png"
"12205","Cameron Jordan","NO","#D3BC8D","new-orleans-saints.png"
"12208","Kentavius Street","NO","#D3BC8D","new-orleans-saints.png"
"12227","Zack Baun","NO","#D3BC8D","new-orleans-saints.png"
"12244","Tanoh Kpassagnon","NO","#D3BC8D","new-orleans-saints.png"
"12261","Alontae Taylor","NO","#D3BC8D","new-orleans-saints.png"
"12299","Bradley Roby","NO","#D3BC8D","new-orleans-saints.png"
"12301","Marcus Maye","NO","#D3BC8D","new-orleans-saints.png"
"12312","David Onyemata","NO","#D3BC8D","new-orleans-saints.png"
"12315","Chris Harris","NO","#D3BC8D","new-orleans-saints.png"
"12333","Marcus Davenport","NO","#D3BC8D","new-orleans-saints.png"
"12352","Kaden Elliss","NO","#D3BC8D","new-orleans-saints.png"
"12385","P.J. Williams","NO","#D3BC8D","new-orleans-saints.png"
"12481","Marshon Lattimore","NO","#D3BC8D","new-orleans-saints.png"
"12536","Malcolm Roach","NO","#D3BC8D","new-orleans-saints.png"
"12548","J.T. Gray","NO","#D3BC8D","new-orleans-saints.png"
"12594","Christian Ringo","NO","#D3BC8D","new-orleans-saints.png"
"12701","Nicholas Williams","NYG","#0B2265","new-york-giants.png"
"12703","Adoree' Jackson","NYG","#0B2265","new-york-giants.png"
"12709","Micah McFadden","NYG","#0B2265","new-york-giants.png"
"12710","Nick McCloud","NYG","#0B2265","new-york-giants.png"
"12711","Jaylon Smith","NYG","#0B2265","new-york-giants.png"
"12715","Xavier McKinney","NYG","#0B2265","new-york-giants.png"
"12716","Julian Love","NYG","#0B2265","new-york-giants.png"
"12719","Justin Ellis","NYG","#0B2265","new-york-giants.png"
"12726","Tae Crowder","NYG","#0B2265","new-york-giants.png"
"12730","Fabian Moreau","NYG","#0B2265","new-york-giants.png"
"12731","Leonard Williams","NYG","#0B2265","new-york-giants.png"
"12733","Landon Collins","NYG","#0B2265","new-york-giants.png"
"12737","Cordale Flott","NYG","#0B2265","new-york-giants.png"
"12750","Jihad Ward","NYG","#0B2265","new-york-giants.png"
"12768","Tomon Fox","NYG","#0B2265","new-york-giants.png"
"12771","Austin Calitro","NYG","#0B2265","new-york-giants.png"
"12803","Darnay Holmes","NYG","#0B2265","new-york-giants.png"
"12827","Dane Belton","NYG","#0B2265","new-york-giants.png"
"12842","Aaron Robinson","NYG","#0B2265","new-york-giants.png"
"12852","Oshane Ximines","NYG","#0B2265","new-york-giants.png"
"12878","D.J. Davidson","NYG","#0B2265","new-york-giants.png"
"12882","Dexter Lawrence","NYG","#0B2265","new-york-giants.png"
"12901","Kayvon Thibodeaux","NYG","#0B2265","new-york-giants.png"
"12965","Elerson Smith","NYG","#0B2265","new-york-giants.png"
"12969","Henry Mondeaux","NYG","#0B2265","new-york-giants.png"
"13030","Tony Jefferson","NYG","#0B2265","new-york-giants.png"
"13058","Justin Layne","NYG","#0B2265","new-york-giants.png"
"13112","Quincy Roche","NYG","#0B2265","new-york-giants.png"
"13160","Ryder Anderson","NYG","#0B2265","new-york-giants.png"
"13183","Azeez Ojulari","NYG","#0B2265","new-york-giants.png"
"13196","Micheal Clemons","NYJ","#125740","new-york-jets.png"
"13198","C.J. Mosley","NYJ","#125740","new-york-jets.png"
"13201","Sheldon Rankins","NYJ","#125740","new-york-jets.png"
"13202","Jordan Whitehead","NYJ","#125740","new-york-jets.png"
"13205","Quincy Williams","NYJ","#125740","new-york-jets.png"
"13206","Jermaine Johnson","NYJ","#125740","new-york-jets.png"
"13224","Ahmad Gardner","NYJ","#125740","new-york-jets.png"
"13245","Lamarcus Joyner","NYJ","#125740","new-york-jets.png"
"13268","Jamien Sherwood","NYJ","#125740","new-york-jets.png"
"13285","D.J. Reed","NYJ","#125740","new-york-jets.png"
"13304","Vinny Curry","NYJ","#125740","new-york-jets.png"
"13305","Quinnen Williams","NYJ","#125740","new-york-jets.png"
"13314","Kwon Alexander","NYJ","#125740","new-york-jets.png"
"13331","John Franklin-Myers","NYJ","#125740","new-york-jets.png"
"13353","Marcell Harris","NYJ","#125740","new-york-jets.png"
"13360","Brandin Echols","NYJ","#125740","new-york-jets.png"
"13378","Carl Lawson","NYJ","#125740","new-york-jets.png"
"13390","Michael Carter","NYJ","#125740","new-york-jets.png"
"13394","Solomon Thomas","NYJ","#125740","new-york-jets.png"
"13395","Jake Martin","NYJ","#125740","new-york-jets.png"
"13538","Tony Adams","NYJ","#125740","new-york-jets.png"
"13552","Will Parks","NYJ","#125740","new-york-jets.png"
"13596","Nathan Shepherd","NYJ","#125740","new-york-jets.png"
"13761","Bryce Huff","NYJ","#125740","new-york-jets.png"
"13782","Haason Reddick","PHI","#004C54","philadelphia-eagles.png"
"13784","Josh Sweat","PHI","#004C54","philadelphia-eagles.png"
"13785","James Bradberry","PHI","#004C54","philadelphia-eagles.png"
"13786","T.J. Edwards","PHI","#004C54","philadelphia-eagles.png"
"13789","Kyzir White","PHI","#004C54","philadelphia-eagles.png"
"13790","Avonte Maddox","PHI","#004C54","philadelphia-eagles.png"
"13809","Javon Hargrave","PHI","#004C54","philadelphia-eagles.png"
"13817","Chauncey Gardner-Johnson","PHI","#004C54","philadelphia-eagles.png"
"13820","Fletcher Cox","PHI","#004C54","philadelphia-eagles.png"
"13831","Marcus Epps","PHI","#004C54","philadelphia-eagles.png"
"13850","Milton Williams","PHI","#004C54","philadelphia-eagles.png"
"13897","Jordan Davis","PHI","#004C54","philadelphia-eagles.png"
"13910","Kyron Johnson","PHI","#004C54","philadelphia-eagles.png"
"13911","Darius Slay","PHI","#004C54","philadelphia-eagles.png"
"13968","Josiah Scott","PHI","#004C54","philadelphia-eagles.png"
"13993","Marlon Tuipulotu","PHI","#004C54","philadelphia-eagles.png"
"13998","Zech McPhearson","PHI","#004C54","philadelphia-eagles.png"
"14044","Patrick Johnson","PHI","#004C54","philadelphia-eagles.png"
"14047","K'Von Wallace","PHI","#004C54","philadelphia-eagles.png"
"14057","Brandon Graham","PHI","#004C54","philadelphia-eagles.png"
"14216","Marvin Wilson","PHI","#004C54","philadelphia-eagles.png"
"14278","Malik Reed","PIT","#FFB612","pittsburgh-steelers.png"
"14279","Robert Spillane","PIT","#FFB612","pittsburgh-steelers.png"
"14282","DeMarvin Leal","PIT","#FFB612","pittsburgh-steelers.png"
"14283","Cameron Heyward","PIT","#FFB612","pittsburgh-steelers.png"
"14290","Terrell Edmunds","PIT","#FFB612","pittsburgh-steelers.png"
"14293","Chris Wormley","PIT","#FFB612","pittsburgh-steelers.png"
"14309","Montravius Adams","PIT","#FFB612","pittsburgh-steelers.png"
"14312","Cameron Sutton","PIT","#FFB612","pittsburgh-steelers.png"
"14323","Myles Jack","PIT","#FFB612","pittsburgh-steelers.png"
"14327","Ahkello Witherspoon","PIT","#FFB612","pittsburgh-steelers.png"
"14340","Isaiahh Loudermilk","PIT","#FFB612","pittsburgh-steelers.png"
"14344","Ryan Anderson","PIT","#FFB612","pittsburgh-steelers.png"
"14358","Larry Ogunjobi","PIT","#FFB612","pittsburgh-steelers.png"
"14378","Minkah Fitzpatrick","PIT","#FFB612","pittsburgh-steelers.png"
"14393","Elijah Riley","PIT","#FFB612","pittsburgh-steelers.png"
"14395","Alex Highsmith","PIT","#FFB612","pittsburgh-steelers.png"
"14403","Devin Bush","PIT","#FFB612","pittsburgh-steelers.png"
"14408","Arthur Maulet","PIT","#FFB612","pittsburgh-steelers.png"
"14413","Jamir Jones","PIT","#FFB612","pittsburgh-steelers.png"
"14546","T.J. Watt","PIT","#FFB612","pittsburgh-steelers.png"
"14586","Tyson Alualu","PIT","#FFB612","pittsburgh-steelers.png"
"14596","Levi Wallace","PIT","#FFB612","pittsburgh-steelers.png"
"14605","Tre Norwood","PIT","#FFB612","pittsburgh-steelers.png"
"14655","Josh Jackson","PIT","#FFB612","pittsburgh-steelers.png"
"14673","James Pierre","PIT","#FFB612","pittsburgh-steelers.png"
"14802","Jordyn Brooks","SEA","#002244","seattle-seahawks.png"
"14803","Josh Jones","SEA","#002244","seattle-seahawks.png"
"14806","Cody Barton","SEA","#002244","seattle-seahawks.png"
"14810","Tariq Woolen","SEA","#002244","seattle-seahawks.png"
"14814","Uchenna Nwosu","SEA","#002244","seattle-seahawks.png"
"14815","Myles Adams","SEA","#002244","seattle-seahawks.png"
"14818","Christian Jones","SEA","#002244","seattle-seahawks.png"
"14823","Al Woods","SEA","#002244","seattle-seahawks.png"
"14827","Quandre Diggs","SEA","#002244","seattle-seahawks.png"
"14831","Coby Bryant","SEA","#002244","seattle-seahawks.png"
"14858","Justin Coleman","SEA","#002244","seattle-seahawks.png"
"14859","Bryan Mone","SEA","#002244","seattle-seahawks.png"
"14873","Poona Ford","SEA","#002244","seattle-seahawks.png"
"14876","Quinton Jefferson","SEA","#002244","seattle-seahawks.png"
"14898","Darrell Taylor","SEA","#002244","seattle-seahawks.png"
"14902","Michael Jackson","SEA","#002244","seattle-seahawks.png"
"14918","Shelby Harris","SEA","#002244","seattle-seahawks.png"
"14922","Ryan Neal","SEA","#002244","seattle-seahawks.png"
"14926","Boye Mafe","SEA","#002244","seattle-seahawks.png"
"14958","Joshua Onujiogu","SEA","#002244","seattle-seahawks.png"
"14967","Darryl Johnson","SEA","#002244","seattle-seahawks.png"
"15004","Bruce Irvin","SEA","#002244","seattle-seahawks.png"
"15142","Jamal Adams","SEA","#002244","seattle-seahawks.png"
"15236","Nick Bellore","SEA","#002244","seattle-seahawks.png"
"15240","Sidney Jones","SEA","#002244","seattle-seahawks.png"
"15380","Hassan Ridgeway","SF","#AA0000","san-francisco-49ers.png"
"15381","Talanoa Hufanga","SF","#AA0000","san-francisco-49ers.png"
"15388","Azeez Al-Shaair","SF","#AA0000","san-francisco-49ers.png"
"15390","Jimmie Ward","SF","#AA0000","san-francisco-49ers.png"
"15391","Samson Ebukam","SF","#AA0000","san-francisco-49ers.png"
"15393","Tashaun Gipson","SF","#AA0000","san-francisco-49ers.png"
"15397","Charvarius Ward","SF","#AA0000","san-francisco-49ers.png"
"15416","Charles Omenihu","SF","#AA0000","san-francisco-49ers.png"
"15422","Dre Greenlaw","SF","#AA0000","san-francisco-49ers.png"
"15428","Fred Warner","SF","#AA0000","san-francisco-49ers.png"
"15439","Oren Burks","SF","#AA0000","san-francisco-49ers.png"
"15454","Emmanuel Moseley","SF","#AA0000","san-francisco-49ers.png"
"15456","Drake Jackson","SF","#AA0000","san-francisco-49ers.png"
"15501","Arik Armstead","SF","#AA0000","san-francisco-49ers.png"
"15514","Kerry Hyder","SF","#AA0000","san-francisco-49ers.png"
"15538","Dontae Johnson","SF","#AA0000","san-francisco-49ers.png"
"15567","Tarvarius Moore","SF","#AA0000","san-francisco-49ers.png"
"15568","Deommodore Lenoir","SF","#AA0000","san-francisco-49ers.png"
"15569","Akeem Spence","SF","#AA0000","san-francisco-49ers.png"
"15629","Javon Kinlaw","SF","#AA0000","san-francisco-49ers.png"
"15639","Nick Bosa","SF","#AA0000","san-francisco-49ers.png"
"15648","Samuel Womack","SF","#AA0000","san-francisco-49ers.png"
"15689","Kevin Givens","SF","#AA0000","san-francisco-49ers.png"
"15727","Kemoko Turay","SF","#AA0000","san-francisco-49ers.png"
"15728","Demetrius Flannigan-Fowles","SF","#AA0000","san-francisco-49ers.png"
"15794","Ambry Thomas","SF","#AA0000","san-francisco-49ers.png"
"15808","Rakeem Nunez-Roches","TB","#D50A0A","tampa-bay-buccaneers.png"
"15810","Devin White","TB","#D50A0A","tampa-bay-buccaneers.png"
"15811","Mike Edwards","TB","#D50A0A","tampa-bay-buccaneers.png"
"15812","Carlton Davis","TB","#D50A0A","tampa-bay-buccaneers.png"
"15815","Genard Avery","TB","#D50A0A","tampa-bay-buccaneers.png"
"15818","Antoine Winfield","TB","#D50A0A","tampa-bay-buccaneers.png"
"15826","Shaquil Barrett","TB","#D50A0A","tampa-bay-buccaneers.png"
"15835","Keanu Neal","TB","#D50A0A","tampa-bay-buccaneers.png"
"15848","Logan Hall","TB","#D50A0A","tampa-bay-buccaneers.png"
"15859","Carl Nassib","TB","#D50A0A","tampa-bay-buccaneers.png"
"15866","Sean Murphy-Bunting","TB","#D50A0A","tampa-bay-buccaneers.png"
"15873","Zyon McCollum","TB","#D50A0A","tampa-bay-buccaneers.png"
"15882","Lavonte David","TB","#D50A0A","tampa-bay-buccaneers.png"
"15885","Pat O'Connor","TB","#D50A0A","tampa-bay-buccaneers.png"
"15898","Deadrin Senat","TB","#D50A0A","tampa-bay-buccaneers.png"
"15902","Jamel Dean","TB","#D50A0A","tampa-bay-buccaneers.png"
"15943","Anthony Nelson","TB","#D50A0A","tampa-bay-buccaneers.png"
"15973","Akiem Hicks","TB","#D50A0A","tampa-bay-buccaneers.png"
"15981","Joe Tryon","TB","#D50A0A","tampa-bay-buccaneers.png"
"15999","William Gholston","TB","#D50A0A","tampa-bay-buccaneers.png"
"16108","Dee Delaney","TB","#D50A0A","tampa-bay-buccaneers.png"
"16130","Logan Ryan","TB","#D50A0A","tampa-bay-buccaneers.png"
"16144","Vita Vea","TB","#D50A0A","tampa-bay-buccaneers.png"
"16370","DeMarcus Walker","TEN","#0C2340","tennessee-titans.png"
"16371","Kevin Byard","TEN","#0C2340","tennessee-titans.png"
"16373","Kristian Fulton","TEN","#0C2340","tennessee-titans.png"
"16375","Jeffery Simmons","TEN","#0C2340","tennessee-titans.png"
"16378","Roger McCreary","TEN","#0C2340","tennessee-titans.png"
"16385","Teair Tart","TEN","#0C2340","tennessee-titans.png"
"16386","Chris Jackson","TEN","#0C2340","tennessee-titans.png"
"16390","Derrek Tuszka","TEN","#0C2340","tennessee-titans.png"
"16394","David Long","TEN","#0C2340","tennessee-titans.png"
"16400","Joshua Kalu","TEN","#0C2340","tennessee-titans.png"
"16411","Amani Hooker","TEN","#0C2340","tennessee-titans.png"
"16414","Terrance Mitchell","TEN","#0C2340","tennessee-titans.png"
"16419","Olasunkanmi Adeniyi","TEN","#0C2340","tennessee-titans.png"
"16422","Zach Cunningham","TEN","#0C2340","tennessee-titans.png"
"16423","Rashad Weaver","TEN","#0C2340","tennessee-titans.png"
"16447","Lonnie Johnson","TEN","#0C2340","tennessee-titans.png"
"16480","Naquan Jones","TEN","#0C2340","tennessee-titans.png"
"16486","Mario Edwards","TEN","#0C2340","tennessee-titans.png"
"16488","Wyatt Ray","TEN","#0C2340","tennessee-titans.png"
"16508","Kevin Strong","TEN","#0C2340","tennessee-titans.png"
"16533","Dylan Cole","TEN","#0C2340","tennessee-titans.png"
"16540","Andrew Adams","TEN","#0C2340","tennessee-titans.png"
"16582","Bud Dupree","TEN","#0C2340","tennessee-titans.png"
"16603","Ugochukwu Amadi","TEN","#0C2340","tennessee-titans.png"
"16613","Denico Autry","TEN","#0C2340","tennessee-titans.png"
"16628","Caleb Farley","TEN","#0C2340","tennessee-titans.png"
"16781","Joe Schobert","TEN","#0C2340","tennessee-titans.png"
"16819","Tre Avery","TEN","#0C2340","tennessee-titans.png"
"16890","Sam Okuayinonu","TEN","#0C2340","tennessee-titans.png"
"16896","Benjamin St-Juste","WAS","#5A1414","washington-commanders.png"
"16897","Kamren Curl","WAS","#5A1414","washington-commanders.png"
"16902","Jamin Davis","WAS","#5A1414","washington-commanders.png"
"16905","Kendall Fuller","WAS","#5A1414","washington-commanders.png"
"16907","James Smith-Williams","WAS","#5A1414","washington-commanders.png"
"16917","Cole Holcomb","WAS","#5A1414","washington-commanders.png"
"16928","Montez Sweat","WAS","#5A1414","washington-commanders.png"
"16930","Efe Obada","WAS","#5A1414","washington-commanders.png"
"16933","John Ridgeway","WAS","#5A1414","washington-commanders.png"
"16947","Bobby McCain","WAS","#5A1414","washington-commanders.png"
"16952","Jonathan Allen","WAS","#5A1414","washington-commanders.png"
"16955","Darrick Forrest","WAS","#5A1414","washington-commanders.png"
"16970","Daron Payne","WAS","#5A1414","washington-commanders.png"
"16971","Casey Toohill","WAS","#5A1414","washington-commanders.png"
"16981","Jeremy Reaves","WAS","#5A1414","washington-commanders.png"
"17019","Danny Johnson","WAS","#5A1414","washington-commanders.png"
"17067","Rachad Wildgoose","WAS","#5A1414","washington-commanders.png"
"17079","David Mayo","WAS","#5A1414","washington-commanders.png"
"17097","William Bradley-King","WAS","#5A1414","washington-commanders.png"
"17160","William Jackson","WAS","#5A1414","washington-commanders.png"
"17170","Jon Bostic","WAS","#5A1414","washington-commanders.png"
"17178","Donovan Jeter","WAS","#5A1414","washington-commanders.png"
"17191","Milo Eifler","WAS","#5A1414","washington-commanders.png"
"17227","Christian Holmes","WAS","#5A1414","washington-commanders.png"
"17229","Shaka Toney","WAS","#5A1414","washington-commanders.png"
"17303","Percy Butler","WAS","#5A1414","washington-commanders.png"
"17365","Daniel Wise","WAS","#5A1414","washington-commanders.png"
